var_name,offset,pre-run-data,post-run-data
acc_avg_y,13,0,0
acc_avg_y,14,0,0
acc_avg_y,15,0,0
acc_avg_y,16,4,4
acc_avg_y,17,0,0
acc_avg_y,18,0,0
acc_avg_y,19,0,0
acc_avg_y,20,5,5
acc_avg_y,21,0,0
acc_avg_y,22,0,0
acc_avg_y,23,0,0
acc_avg_y,24,6,6
acc_avg_y,25,0,0
acc_avg_y,26,0,0
acc_avg_y,27,0,0
acc_avg_y,28,7,7
acc_avg_y,29,0,0
acc_avg_y,30,0,0
acc_avg_y,31,0,0
acc_avg_y,32,8,8
acc_avg_y,33,0,0
acc_avg_y,34,0,0
acc_avg_y,35,0,0
acc_avg_y,36,9,9
acc_avg_y,37,0,0
acc_avg_y,38,0,0
acc_avg_y,39,0,0
acc_avg_y,40,10,10
acc_avg_y,41,0,0
acc_avg_y,42,0,0
acc_avg_y,43,0,0
acc_avg_y,44,11,11
acc_avg_y,45,0,0
acc_avg_y,46,0,0
acc_avg_y,47,0,0
acc_avg_y,48,12,12
acc_avg_y,49,0,0
acc_avg_y,50,0,0
acc_avg_y,51,0,0
acc_avg_y,52,13,13
acc_avg_y,53,0,0
acc_avg_y,54,0,0
acc_avg_y,55,0,0
acc_avg_y,56,14,14
acc_avg_y,57,0,0
acc_avg_y,58,0,0
acc_avg_y,59,0,0
acc_avg_y,60,15,15
acc_avg_y,61,0,0
acc_avg_y,62,0,0
acc_avg_y,63,0,0
acc_avg_z,0,0,0
acc_avg_z,1,0,0
acc_avg_z,2,0,0
acc_avg_z,3,0,0
acc_avg_z,4,1,1
acc_avg_z,5,0,0
acc_avg_z,6,0,0
acc_avg_z,7,0,0
acc_avg_z,8,2,2
acc_avg_z,9,0,0
acc_avg_z,10,0,0
acc_avg_z,11,0,0
acc_avg_z,12,3,3
acc_avg_z,13,0,0
acc_avg_z,14,0,0
acc_avg_z,15,0,0
acc_avg_z,16,4,4
acc_avg_z,17,0,0
acc_avg_z,18,0,0
acc_avg_z,19,0,0
acc_avg_z,20,5,5
acc_avg_z,21,0,0
acc_avg_z,22,0,0
acc_avg_z,23,0,0
acc_avg_z,24,6,6
acc_avg_z,25,0,0
acc_avg_z,26,0,0
acc_avg_z,27,0,0
acc_avg_z,28,7,7
acc_avg_z,29,0,0
acc_avg_z,30,0,0
acc_avg_z,31,0,0
acc_avg_z,32,8,8
acc_avg_z,33,0,0
acc_avg_z,34,0,0
acc_avg_z,35,0,0
acc_avg_z,36,9,9
acc_avg_z,37,0,0
acc_avg_z,38,0,0
acc_avg_z,39,0,0
acc_avg_z,40,10,10
acc_avg_z,41,0,0
acc_avg_z,42,0,0
acc_avg_z,43,0,0
acc_avg_z,44,11,11
acc_avg_z,45,0,0
acc_avg_z,46,0,0
acc_avg_z,47,0,0
acc_avg_z,48,12,12
acc_avg_z,49,0,0
acc_avg_z,50,0,0
acc_avg_z,51,0,0
acc_avg_z,52,13,13
acc_avg_z,53,0,0
acc_avg_z,54,0,0
acc_avg_z,55,0,0
acc_avg_z,56,14,14
acc_avg_z,57,0,0
acc_avg_z,58,0,0
acc_avg_z,59,0,0
acc_avg_z,60,15,15
acc_avg_z,61,0,0
acc_avg_z,62,0,0
acc_avg_z,63,0,0
acc_vector,0,0,5
acc_vector,1,0,0
acc_vector,2,0,0
acc_vector,3,0,0
acc_vector,4,0,29
acc_vector,5,0,0
acc_vector,6,0,0
acc_vector,7,0,0
acc_vector,8,0,77
acc_vector,9,0,0
acc_vector,10,0,0
acc_vector,11,0,0
acc_vector,12,0,149
acc_vector,13,0,0
acc_vector,14,0,0
acc_vector,15,0,0
acc_vector,16,0,245
acc_vector,17,0,0
acc_vector,18,0,0
acc_vector,19,0,0
acc_vector,20,0,109
acc_vector,21,0,1
acc_vector,22,0,0
acc_vector,23,0,0
acc_vector,24,0,253
acc_vector,25,0,1
acc_vector,26,0,0
acc_vector,27,0,0
acc_vector,28,0,165
acc_vector,29,0,2
acc_vector,30,0,0
acc_vector,31,0,0
acc_vector,32,0,101
acc_vector,33,0,3
acc_vector,34,0,0
acc_vector,35,0,0
acc_vector,36,0,61
acc_vector,37,0,4
acc_vector,38,0,0
acc_vector,39,0,0
acc_vector,40,0,45
acc_vector,41,0,5
acc_vector,42,0,0
acc_vector,43,0,0
acc_vector,44,0,53
acc_vector,45,0,6
acc_vector,46,0,0
acc_vector,47,0,0
acc_vector,48,0,85
acc_vector,49,0,7
acc_vector,50,0,0
acc_vector,51,0,0
acc_vector,52,0,141
acc_vector,53,0,8
acc_vector,54,0,0
acc_vector,55,0,0
acc_vector,56,0,221
acc_vector,57,0,9
acc_vector,58,0,0
acc_vector,59,0,0
acc_vector,60,0,69
acc_vector,61,0,11
acc_vector,62,0,0
acc_vector,63,0,0
acceleration_x,0,0,0
acceleration_x,1,0,0
acceleration_x,2,0,0
acceleration_x,3,0,0
acceleration_x,4,3,3
acceleration_x,5,0,0
acceleration_x,6,0,0
acceleration_x,7,0,0
acceleration_x,8,6,6
acceleration_x,9,0,0
acceleration_x,10,0,0
acceleration_x,11,0,0
acceleration_x,12,9,9
acceleration_x,13,0,0
acceleration_x,14,0,0
acceleration_x,15,0,0
acceleration_x,16,12,12
acceleration_x,17,0,0
acceleration_x,18,0,0
acceleration_x,19,0,0
acceleration_x,20,15,15
acceleration_x,21,0,0
acceleration_x,22,0,0
acceleration_x,23,0,0
acceleration_x,24,18,18
acceleration_x,25,0,0
acceleration_x,26,0,0
acceleration_x,27,0,0
acceleration_x,28,21,21
acceleration_x,29,0,0
acceleration_x,30,0,0
acceleration_x,31,0,0
acceleration_x,32,24,24
acceleration_x,33,0,0
acceleration_x,34,0,0
acceleration_x,35,0,0
acceleration_x,36,27,27
acceleration_x,37,0,0
acceleration_x,38,0,0
acceleration_x,39,0,0
acceleration_x,40,30,30
acceleration_x,41,0,0
acceleration_x,42,0,0
acceleration_x,43,0,0
acceleration_x,44,33,33
acceleration_x,45,0,0
acceleration_x,46,0,0
acceleration_x,47,0,0
acceleration_x,48,36,36
acceleration_x,49,0,0
acceleration_x,50,0,0
acceleration_x,51,0,0
acceleration_x,52,39,39
acceleration_x,53,0,0
acceleration_x,54,0,0
acceleration_x,55,0,0
acceleration_x,56,42,42
acceleration_x,57,0,0
acceleration_x,58,0,0
acceleration_x,59,0,0
acceleration_x,60,45,45
acceleration_x,61,0,0
acceleration_x,62,0,0
acceleration_x,63,0,0
acceleration_y,0,1,1
acceleration_y,1,0,0
acceleration_y,2,0,0
